                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0633,                 2.6568,                 1.2003,                0.65169,                  0.322,                0.32926,                0.18983,                 1.3721,                0.99124,                0.97398,              0.0033326,              0.0033326,              0.0033326
                      2,                0.93609,                 1.5185,                 1.1042,                0.64052,                0.37221,                0.39547,                0.22918,                 1.2431,                0.84462,                0.95565,              0.0065339,              0.0065339,              0.0065339
                      3,                0.92393,                 1.1926,                 1.1017,                 0.5874,                0.39807,                0.40025,                0.22659,                 1.2292,                0.81043,                0.95731,              0.0096033,              0.0096033,              0.0096033
                      4,                0.88443,                 1.0154,                 1.0849,                0.53137,                0.43284,                0.45812,                0.26616,                 1.1289,                0.71622,                0.93573,               0.009406,               0.009406,               0.009406
                      5,                0.82391,                0.90085,                 1.0586,                0.64848,                0.46263,                0.51232,                0.29571,                 1.0611,                0.66583,                0.92348,               0.009406,               0.009406,               0.009406
                      6,                0.78496,                 0.8398,                 1.0425,                 0.6454,                0.52488,                0.54824,                0.32093,                 1.0266,                0.62005,                 0.9154,               0.009208,               0.009208,               0.009208
                      7,                0.75936,                0.79956,                  1.031,                0.67251,                0.55609,                0.57751,                0.33869,                0.99469,                0.59503,                0.90822,                0.00901,                0.00901,                0.00901
                      8,                0.74286,                 0.7705,                 1.0238,                0.69452,                0.57228,                0.60432,                0.35685,                0.97506,                0.58121,                0.90449,               0.008812,               0.008812,               0.008812
                      9,                0.72742,                0.74629,                  1.019,                0.68759,                0.60275,                0.62407,                0.36796,                0.95938,                0.56842,                0.90022,               0.008614,               0.008614,               0.008614
                     10,                0.71816,                0.72814,                 1.0123,                0.76044,                0.57467,                0.64277,                0.38025,                0.93852,                0.56108,                0.89635,               0.008416,               0.008416,               0.008416
                     11,                0.71036,                0.71522,                 1.0114,                0.74843,                0.58846,                0.64688,                0.38647,                0.92844,                0.55144,                0.89517,               0.008218,               0.008218,               0.008218
                     12,                  0.703,                0.69983,                 1.0064,                0.72572,                0.60651,                0.64968,                0.39069,                0.92191,                0.54403,                0.89396,                0.00802,                0.00802,                0.00802
                     13,                0.69323,                0.68901,                 1.0041,                0.72935,                0.60572,                 0.6524,                0.39449,                0.91752,                0.53867,                0.89282,               0.007822,               0.007822,               0.007822
                     14,                0.68658,                0.67808,                 1.0026,                0.72656,                0.61937,                0.65696,                0.39981,                0.91345,                 0.5348,                0.89171,               0.007624,               0.007624,               0.007624
                     15,                0.68304,                0.66885,                0.99934,                0.73842,                0.61579,                0.66446,                0.40225,                0.91009,                0.53147,                 0.8905,               0.007426,               0.007426,               0.007426
                     16,                0.67529,                0.66178,                 0.9983,                0.73929,                0.61956,                0.66762,                0.40559,                0.90665,                0.52862,                0.88948,               0.007228,               0.007228,               0.007228
                     17,                0.67368,                0.65447,                0.99607,                0.74277,                0.62573,                0.67543,                0.40916,                0.90285,                0.52546,                0.88852,                0.00703,                0.00703,                0.00703
                     18,                0.66816,                0.64641,                 0.9934,                0.75303,                0.62476,                0.67915,                0.41147,                0.89922,                0.52228,                0.88741,               0.006832,               0.006832,               0.006832
                     19,                 0.6618,                0.63941,                0.99335,                0.75896,                 0.6259,                0.68226,                0.41415,                0.89486,                0.51937,                0.88659,               0.006634,               0.006634,               0.006634
                     20,                0.65738,                0.63012,                0.99036,                0.77184,                 0.6248,                0.68452,                0.41557,                0.89144,                0.51651,                0.88602,               0.006436,               0.006436,               0.006436
                     21,                0.65356,                0.62129,                0.98991,                0.77914,                0.62813,                0.69166,                0.41898,                0.88655,                 0.5138,                0.88486,               0.006238,               0.006238,               0.006238
                     22,                0.64994,                0.61633,                0.98808,                0.74485,                 0.6498,                 0.6939,                0.42292,                0.88119,                0.51104,                0.88377,                0.00604,                0.00604,                0.00604
                     23,                0.64582,                0.60816,                0.98689,                0.73519,                 0.6584,                0.69763,                0.42655,                0.87614,                0.50763,                0.88259,               0.005842,               0.005842,               0.005842
                     24,                0.64403,                0.60726,                0.98554,                0.72395,                0.67013,                0.70065,                0.42888,                0.87091,                0.50461,                0.88145,               0.005644,               0.005644,               0.005644
                     25,                0.63924,                0.60216,                 0.9847,                0.73768,                0.66291,                0.70428,                0.43327,                0.86624,                 0.5018,                0.88043,               0.005446,               0.005446,               0.005446
                     26,                0.63494,                0.59401,                0.98235,                0.72959,                0.67382,                0.70825,                0.43611,                0.86101,                0.49858,                0.87934,               0.005248,               0.005248,               0.005248
                     27,                0.63043,                 0.5868,                0.98103,                 0.7257,                0.67596,                0.71271,                 0.4396,                0.85659,                0.49537,                0.87843,                0.00505,                0.00505,                0.00505
                     28,                0.62637,                0.58146,                0.98017,                 0.7254,                0.68467,                0.71473,                0.44204,                0.85154,                0.49201,                0.87748,               0.004852,               0.004852,               0.004852
                     29,                0.62167,                0.57526,                0.97915,                0.74102,                0.68575,                0.71741,                0.44508,                  0.847,                0.48876,                0.87649,               0.004654,               0.004654,               0.004654
                     30,                0.62064,                0.56974,                0.97857,                0.74682,                0.68403,                0.72032,                0.44831,                0.84231,                 0.4857,                0.87553,               0.004456,               0.004456,               0.004456
                     31,                0.61591,                0.56408,                0.97636,                0.75282,                0.68293,                0.72633,                0.45151,                0.83769,                0.48178,                0.87458,               0.004258,               0.004258,               0.004258
                     32,                0.61392,                0.55944,                0.97582,                0.77809,                0.68449,                0.73127,                0.45484,                0.83403,                0.47844,                0.87391,                0.00406,                0.00406,                0.00406
                     33,                0.61039,                0.55357,                0.97393,                 0.7728,                0.68605,                0.73464,                0.45791,                0.82964,                 0.4754,                0.87311,               0.003862,               0.003862,               0.003862
                     34,                0.60525,                0.54705,                0.97361,                0.76637,                 0.6964,                0.73809,                0.46114,                  0.825,                 0.4721,                0.87214,               0.003664,               0.003664,               0.003664
                     35,                0.59865,                0.53913,                0.97217,                0.76775,                0.70363,                 0.7406,                0.46362,                 0.8207,                0.46874,                0.87131,               0.003466,               0.003466,               0.003466
                     36,                0.59606,                0.53418,                0.97066,                0.78358,                0.69811,                0.74249,                0.46673,                0.81689,                0.46582,                0.87044,               0.003268,               0.003268,               0.003268
                     37,                0.59138,                0.52681,                0.96932,                0.77666,                0.70269,                0.74366,                0.46839,                0.81213,                 0.4628,                0.86957,                0.00307,                0.00307,                0.00307
                     38,                0.58918,                0.52188,                0.96828,                0.78479,                 0.7027,                0.74849,                0.47063,                0.80741,                0.45973,                0.86881,               0.002872,               0.002872,               0.002872
                     39,                0.58515,                0.51674,                 0.9676,                0.79505,                0.69729,                 0.7532,                0.47525,                0.80435,                0.45689,                0.86807,               0.002674,               0.002674,               0.002674
                     40,                0.57694,                0.51118,                0.96469,                0.81076,                0.69267,                0.75672,                0.47782,                0.80126,                0.45391,                0.86739,               0.002476,               0.002476,               0.002476
                     41,                0.66036,                0.37062,                  1.011,                0.80368,                0.70062,                0.75922,                0.48155,                0.79762,                0.45112,                0.86673,               0.002278,               0.002278,               0.002278
                     42,                0.65065,                0.36163,                 1.0045,                 0.8082,                0.70226,                0.76353,                0.48454,                0.79323,                0.44795,                0.86594,                0.00208,                0.00208,                0.00208
                     43,                 0.6414,                0.35528,                 1.0004,                0.80045,                0.70444,                 0.7653,                0.48763,                0.78768,                 0.4447,                0.86514,               0.001882,               0.001882,               0.001882
                     44,                0.63263,                0.34766,                0.99716,                0.80391,                0.70814,                0.76894,                0.49244,                0.78234,                 0.4415,                0.86429,               0.001684,               0.001684,               0.001684
                     45,                0.62534,                0.33974,                0.99466,                0.80571,                0.70663,                0.77233,                0.49524,                0.77701,                0.43834,                0.86342,               0.001486,               0.001486,               0.001486
                     46,                0.61796,                 0.3336,                0.98949,                0.81101,                0.70539,                0.77454,                0.49764,                0.77203,                0.43485,                0.86252,               0.001288,               0.001288,               0.001288
                     47,                0.61001,                0.32835,                0.98618,                0.80716,                0.71336,                0.77676,                0.50163,                0.76711,                0.43191,                0.86178,                0.00109,                0.00109,                0.00109
                     48,                0.60107,                0.32099,                0.98237,                0.79833,                0.72075,                0.78044,                0.50478,                 0.7627,                0.42891,                0.86114,               0.000892,               0.000892,               0.000892
                     49,                0.59369,                0.31586,                0.98031,                0.79938,                0.72259,                0.78265,                0.50695,                0.75866,                0.42634,                0.86046,               0.000694,               0.000694,               0.000694
                     50,                0.58703,                0.30978,                0.97581,                0.79673,                0.72812,                0.78669,                0.50936,                0.75459,                0.42334,                0.85984,               0.000496,               0.000496,               0.000496
